[12:30:47] [INFO] received Windows console close event; shutting log-core down
[12:32:08] [INFO] received Windows console close event; shutting log-core down
[12:34:30] [INFO] received Windows console close event; shutting log-core down
[12:35:50] [INFO] received Windows console close event; shutting log-core down
[12:38:26] [INFO] received Windows console close event; shutting log-core down
[12:40:30] [INFO] received Windows console close event; shutting log-core down
[12:42:14] [INFO] received Windows console close event; shutting log-core down
[12:43:33] [INFO] received Windows console close event; shutting log-core down
[12:45:28] [INFO] received Windows console close event; shutting log-core down
[12:47:42] [INFO] received Windows console close event; shutting log-core down
[12:48:08] [INFO] received Windows console close event; shutting log-core down
[12:50:33] [INFO] received Windows console close event; shutting log-core down
[12:51:45] [INFO] received Windows console close event; shutting log-core down
[12:54:19] [INFO] received Windows console close event; shutting log-core down
[08:26:36] [INFO] received Windows console close event; shutting log-core down
[08:29:02] [INFO] received Windows console close event; shutting log-core down
[08:35:06] [INFO] received Windows console close event; shutting log-core down
[08:36:48] [INFO] received Windows console close event; shutting log-core down
[08:39:11] [INFO] received Windows console close event; shutting log-core down
[08:42:08] [INFO] received Windows console close event; shutting log-core down
[08:43:35] [INFO] received Windows console close event; shutting log-core down
[08:45:11] [INFO] received Windows console close event; shutting log-core down
[08:46:05] [INFO] received Windows console close event; shutting log-core down
[08:48:27] [INFO] received Windows console close event; shutting log-core down
[08:54:50] [INFO] received Windows console close event; shutting log-core down
[12:06:13] [INFO] received Windows console close event; shutting log-core down
[13:47:18] [INFO] received Windows console close event; shutting log-core down
[13:49:12] [INFO] received Windows console close event; shutting log-core down
[13:51:19] [INFO] received Windows console close event; shutting log-core down
[13:58:18] [INFO] received Windows console close event; shutting log-core down
[14:03:23] [INFO] received Windows console close event; shutting log-core down
[14:33:50] [INFO] received Windows console close event; shutting log-core down
[14:36:43] [INFO] received Windows console close event; shutting log-core down
[14:38:18] [INFO] received Windows console close event; shutting log-core down
[14:49:15] [INFO] received Windows console close event; shutting log-core down
[14:55:12] [INFO] received Windows console close event; shutting log-core down
[15:00:15] [INFO] received Windows console close event; shutting log-core down
[15:03:45] [INFO] received Windows console close event; shutting log-core down
[15:06:31] [INFO] received Windows console close event; shutting log-core down
[15:14:08] [INFO] received Windows console close event; shutting log-core down
[15:15:53] [INFO] received Windows console close event; shutting log-core down
[15:17:00] [INFO] received Windows console close event; shutting log-core down
[15:17:23] [INFO] received Windows console close event; shutting log-core down
[15:17:23] [INFO] received Windows console close event; shutting log-core down
[15:17:49] [INFO] received Windows console close event; shutting log-core down
[15:20:34] [INFO] received Windows console close event; shutting log-core down
[15:21:10] [INFO] received Windows console close event; shutting log-core down
[15:22:26] [INFO] received Windows console close event; shutting log-core down
[15:24:37] [INFO] received Windows console close event; shutting log-core down
[15:25:43] [INFO] received Windows console close event; shutting log-core down
[15:27:10] [INFO] received Windows console close event; shutting log-core down
[15:29:29] [INFO] received Windows console close event; shutting log-core down
[15:30:10] [INFO] received Windows console close event; shutting log-core down
[15:32:21] [INFO] received Windows console close event; shutting log-core down
[15:34:01] [INFO] received Windows console close event; shutting log-core down
[15:36:54] [INFO] received Windows console close event; shutting log-core down
[15:37:51] [INFO] received Windows console close event; shutting log-core down
[15:39:17] [INFO] received Windows console close event; shutting log-core down
[15:40:32] [INFO] received Windows console close event; shutting log-core down
[15:42:03] [INFO] received Windows console close event; shutting log-core down
[15:43:15] [INFO] received Windows console close event; shutting log-core down
[15:44:02] [INFO] received Windows console close event; shutting log-core down
[15:45:01] [INFO] received Windows console close event; shutting log-core down
[15:49:28] [INFO] received Windows console close event; shutting log-core down
[15:52:54] [INFO] received Windows console close event; shutting log-core down
[16:17:22] [INFO] received Windows console close event; shutting log-core down
[16:21:14] [INFO] received Windows console close event; shutting log-core down
[17:13:01] [INFO] received Windows console close event; shutting log-core down
[17:21:52] [INFO] received Windows console close event; shutting log-core down
[17:48:18] [INFO] received Windows console close event; shutting log-core down
[17:52:52] [INFO] received Windows console close event; shutting log-core down
[17:53:57] [INFO] received Windows console close event; shutting log-core down
[17:54:18] [INFO] received Windows console close event; shutting log-core down
[18:09:03] [INFO] received Windows console close event; shutting log-core down
[18:09:43] [INFO] received Windows console close event; shutting log-core down
[18:15:04] [INFO] received Windows console close event; shutting log-core down
[18:15:39] [INFO] received Windows console close event; shutting log-core down
[18:15:51] [INFO] received Windows console close event; shutting log-core down
[18:16:11] [INFO] received Windows console close event; shutting log-core down
[18:17:26] [INFO] received Windows console close event; shutting log-core down
[18:17:42] [INFO] received Windows console close event; shutting log-core down
[18:19:01] [INFO] received Windows console close event; shutting log-core down
[18:19:06] [INFO] received Windows console close event; shutting log-core down
[18:19:48] [INFO] received Windows console close event; shutting log-core down
[19:03:21] [INFO] received Windows console close event; shutting log-core down
[10:27:10] [INFO] received Windows console close event; shutting log-core down
[10:30:38] [INFO] received Windows console close event; shutting log-core down
[10:33:13] [INFO] received Windows console close event; shutting log-core down
[10:35:04] [INFO] received Windows console close event; shutting log-core down
[11:42:54] [INFO] received Windows console close event; shutting log-core down
[11:42:54] [INFO] received Windows console close event; shutting log-core down
[11:43:39] [INFO] received Windows console close event; shutting log-core down
[11:45:59] [INFO] received Windows console close event; shutting log-core down
[11:47:18] [INFO] received Windows console close event; shutting log-core down
[11:52:21] [INFO] received Windows console close event; shutting log-core down
[11:52:21] [INFO] received Windows console close event; shutting log-core down
[11:52:21] [INFO] received Windows console close event; shutting log-core down
[11:53:24] [INFO] received Windows console close event; shutting log-core down
[11:59:39] [INFO] received Windows console close event; shutting log-core down
[12:00:04] [INFO] received Windows console close event; shutting log-core down
[12:00:15] [INFO] received Windows console close event; shutting log-core down
[12:00:33] [INFO] received Windows console close event; shutting log-core down
[12:01:33] [INFO] received Windows console close event; shutting log-core down
[12:04:09] [INFO] received Windows console close event; shutting log-core down
[12:06:22] [INFO] received Windows console close event; shutting log-core down
[12:16:58] [INFO] received Windows console close event; shutting log-core down
[12:28:19] [INFO] received Windows console close event; shutting log-core down
[12:36:54] [INFO] received Windows console close event; shutting log-core down
[12:37:31] [INFO] received Windows console close event; shutting log-core down
[12:39:23] [INFO] received Windows console close event; shutting log-core down
[12:40:27] [INFO] received Windows console close event; shutting log-core down
[17:47:17] [INFO] received Windows console close event; shutting log-core down
[09:57:09] [INFO] received Windows console close event; shutting log-core down
[09:58:09] [INFO] received Windows console close event; shutting log-core down
